类别总数: 23
[133.35849026 -24.49291835]
[131.13940766 -24.49923657]
[89.93137124 85.46168454]
[102.79703922  45.53593368]
[136.84985434 -24.33388656]
[142.28908989 -23.52653756]
[ 85.12995704 -17.14570011]
[139.69780894 105.48557277]
[142.26169917 -23.70642042]
[130.87166772   5.35390571]
[132.52418041 -26.36006275]
[143.17332589 100.22469186]
[140.27486552   7.35717392]
[117.37521483  59.85749265]
[134.43571267  18.69967637]
[95.17987635 64.39913329]
[131.033027   -24.95755433]
[146.38997365  81.91338252]
[131.55102145  76.64627374]
[151.16018135  94.35273317]
[1.42847553e+02 9.23770035e-02]
[144.66694883  14.31651227]
[142.59469963  53.85638601]
[90.78582115 60.17757026]
[106.14335736  60.62615475]
[137.23541103 -16.53956773]
[142.24286368 -22.78499322]
[131.64352196  47.60749197]
[146.84587373  29.03108915]
[142.18917494 -24.51258607]
[130.04683368 -24.47895568]
[130.04883676 -24.47635682]
[ 81.75824217 -14.15675379]
[144.27846047 -32.99264442]
[132.92500818  -6.88550963]
[127.76045904  46.0091639 ]
[143.13596639   0.29012486]
[60.02954286 53.45212821]
[ 80.20990036 -21.49656328]
[136.33412447   3.55412907]
[136.34762407 -15.2540708 ]
[149.12420852  94.4270303 ]
[137.15371807  85.19954722]
[136.72658503 -15.58130699]
[74.70623327 91.01536491]
[ 84.83894356 -17.33218061]
[130.65792883  63.13980463]
[144.55515401  32.66470722]
[137.64918817  31.72618575]
[148.75134039  98.18294562]
[97.03563287 53.32357357]
[131.43065486 -27.06559088]
[128.02510795 -24.56726244]
[146.19830554  59.95969105]
[116.27473629  19.25659766]
[142.29723348 -24.60256277]
[ 83.53771537 -24.46279948]
[128.48589524  73.14098348]
[85.24728122 41.28179983]
[142.09866946 -24.5584773 ]
[133.2348971  18.2047889]
[144.50517417  59.92537108]
[89.37054397 21.62557686]
[121.56691198  77.05230479]
[138.62099647 -17.74696499]
[99.48193001 52.52826164]
[73.67564952 14.63881714]
[139.37852503 -18.93091439]
[142.3047778  100.94037381]
[133.18611526 -24.79502511]
[138.96715146 -21.29786209]
[80.76858456 84.78928556]
[96.13742808 93.80057379]
[87.51539777 92.96395605]
[82.81064668 45.02975768]
[142.37583619 -23.48583444]
[127.03436469  72.49219544]
[80.66907757 25.23236323]
[138.04944252  27.30960715]
[142.33822578 -23.71325372]
[104.92808874  64.86314731]
[139.31166185  36.71429035]
[140.57613943  42.90967283]
[138.65377428  35.03807188]
[136.34762407 -15.2540708 ]
[81.51109246 78.96806241]
[127.81834942 -24.32482639]
[82.18936563 72.55690228]
[126.6494086  -24.76980278]
[133.56446913   4.97419304]
[145.31927773  92.55035177]
[73.42871911 62.89283886]
[110.01565823  53.40514611]
[133.05667084  25.89407986]
[144.81073945   8.1875535 ]
[125.85344477  54.34339299]
[134.57608858 -22.37046939]
[135.71472632 -29.01172372]
[142.18407317 -24.51213052]
[85.07928275 50.84682625]
[146.35797052 109.97995719]
[147.63837679  64.07229514]
[155.12726116   3.65361166]
[137.49553445 -17.27213981]
[142.258169   -22.78635988]
[137.49553445 -17.27213981]
[ 94.59461202 116.28679098]
[100.60059828  74.45883269]
[144.30973029  48.2707648 ]
[120.55609014 105.88284016]
[ 93.1882261  106.17834906]
[142.5066166  -23.63139192]
[141.86503883 -23.87032104]
[84.07504552 34.945271  ]
[89.39889026 23.63171389]
[71.2767231  18.73904311]
[139.86663941  45.64854935]
[142.20483648 -22.72804578]
[86.27421937 36.43319273]
[134.72921954 104.25404672]
[115.18802173  77.8833957 ]
[135.08530793 -22.79925311]
[144.3124921  -3.0890323]
[142.21179224 -35.96765902]
[ 24.20682394 -32.67487859]
[120.39461438  80.99145764]
[75.34879595  3.11830377]
[142.89091879 -35.38326155]
[ 91.46985903 -34.35277882]
[143.18908483 -35.82968414]
[146.08452635 -35.85359638]
